time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,correct_role_inference,incorrect_role_inference,correct_state_inference,incorrect_state_inference
4620000,NORMAL:0,0.015704154002026342,4619000,1000,0,0,2500.0,0,49133074,117000,49077014,343297251,65568893,56060,2,4503000,117000,0,343297251,0,343297251
4621000,NORMAL:0,0.015704154002026342,4620000,1000,0,0,2500.0,0,49133074,117000,49077014,343297295,65568893,56060,2,4504000,117000,0,343297295,0,343297295
4680000,NORMAL:0,0.016210739614994932,4679000,1000,0,0,2500.0,0,49133074,117000,49077014,343298906,65568893,56060,2,4563000,117000,0,343298906,0,343298906
4681000,NORMAL:0,0.016210739614994932,4680000,1000,0,0,2500.0,0,49133074,117000,49077014,343298953,65568893,56060,2,4564000,117000,0,343298953,0,343298953
4740000,NORMAL:0,0.016210739614994932,4739000,1000,0,0,2500.0,0,49133074,117000,49077014,343300561,65568893,56060,2,4623000,117000,0,343300561,0,343300561
4741000,NORMAL:0,0.016210739614994932,4740000,1000,0,0,2500.0,0,49133074,117000,49077014,343300605,65568893,56060,2,4624000,117000,0,343300605,0,343300605
4800000,NORMAL:0,0.016210739614994932,4799000,1000,0,0,2500.0,0,49133074,117000,49077014,343302214,65568893,56060,2,4683000,117000,0,343302214,0,343302214
4801000,NORMAL:0,0.016210739614994932,4800000,1000,0,0,2500.0,0,49133074,117000,49077014,343302262,65568893,56060,2,4684000,117000,0,343302262,0,343302262
4860000,NORMAL:0,0.016210739614994932,4859000,1000,0,0,2500.0,0,49133074,117000,49077014,343303869,65568893,56060,2,4743000,117000,0,343303869,0,343303869
4861000,NORMAL:0,0.016210739614994932,4860000,1000,0,0,2500.0,0,49133074,117000,49077014,343303914,65568893,56060,2,4744000,117000,0,343303914,0,343303914
4920000,NORMAL:0,0.016210739614994932,4919000,1000,0,0,2500.0,0,49133074,117000,49077014,343305523,65568893,56060,2,4803000,117000,0,343305523,0,343305523
