time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,degraded_maintenances,critical_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,qlearning_epsilon,total_reward,total_positive_reward,total_positive_reward_qty,total_non_positive_reward,total_non_positive_reward_qty,qtable_size
6000000,NORMAL:0,0.0,6000000,0,0,0,10000.0,0,1,0,0,1,0,165417,1,1,3,6000000,0,1e-06,436607.17363221885,436607.17363221885,165417,0,0,16219
6060000,NORMAL:0,0.0,6060000,0,0,0,10000.0,0,1,0,0,1,0,167071,1,1,3,6060000,0,1e-06,441661.54863221885,441661.54863221885,167071,0,0,16219
6120000,NORMAL:0,0.01519756838905775,6120000,0,0,0,10000.0,0,1,0,0,1,0,168726,1,1,3,6120000,0,1e-06,446732.17363221885,446732.17363221885,168726,0,0,16219
6180000,NORMAL:0,0.01519756838905775,6180000,0,0,0,10000.0,0,1,0,0,1,0,170382,1,1,3,6180000,0,1e-06,451799.04863221885,451799.04863221885,170382,0,0,16219
6240000,NORMAL:0,0.0,6240000,0,0,0,49000.0,0,2,0,0,2,0,172036,2,2,2,6240000,0,1e-06,457861.9977203648,457861.9977203648,172036,0,0,16219
6300000,NORMAL:0,0.0,6300000,0,0,0,49000.0,0,2,0,0,2,0,173689,2,2,2,6300000,0,1e-06,463931.7477203648,463931.7477203648,173689,0,0,16219
6360000,NORMAL:0,0.0,6360000,0,0,0,49000.0,0,2,0,0,2,0,175345,2,2,2,6360000,0,1e-06,470011.9977203648,470011.9977203648,175345,0,0,16219
6420000,NORMAL:0,0.0,6420000,0,0,0,49000.0,0,2,0,0,2,0,177000,2,2,2,6420000,0,1e-06,476090.7477203648,476090.7477203648,177000,0,0,16219
6480000,NORMAL:0,0.0,6480000,0,0,0,49000.0,0,2,0,0,2,0,178655,2,2,2,6480000,0,1e-06,482169.4977203648,482169.4977203648,178655,0,0,16219
6540000,NORMAL:0,0.0,6540000,0,0,0,49000.0,0,2,0,0,2,0,180309,2,2,2,6540000,0,1e-06,488246.7477203648,488246.7477203648,180309,0,0,16219
6600000,NORMAL:0,0.0,6600000,0,0,0,49000.0,0,2,0,0,2,0,181964,2,2,2,6600000,0,1e-06,494325.4977203648,494325.4977203648,181964,0,0,16219
6660000,NORMAL:0,0.0,6660000,0,0,0,49000.0,0,2,0,0,2,0,183618,2,2,2,6660000,0,1e-06,500396.7477203648,500396.7477203648,183618,0,0,16219
6720000,NORMAL:0,0.0,6720000,0,0,0,49000.0,0,2,0,0,2,0,185273,2,2,2,6720000,0,1e-06,506475.4977203648,506475.4977203648,185273,0,0,16219
6780000,NORMAL:0,0.0,6780000,0,0,0,49000.0,0,2,0,0,2,0,186927,2,2,2,6780000,0,1e-06,512546.7477203648,512546.7477203648,186927,0,0,16219
6840000,NORMAL:0,0.0,6840000,0,0,0,49000.0,0,2,0,0,2,0,188582,2,2,2,6840000,0,1e-06,518631.4977203648,518631.4977203648,188582,0,0,16219
6900000,NORMAL:0,0.0,6900000,0,0,0,49000.0,0,2,0,0,2,0,190236,2,2,2,6900000,0,1e-06,524702.7477203647,524702.7477203647,190236,0,0,16219
6960000,NORMAL:0,0.0,6960000,0,0,0,49000.0,0,2,0,0,2,0,191893,2,2,2,6960000,0,1e-06,530790.4977203647,530790.4977203647,191893,0,0,16219
7020000,NORMAL:0,0.0,7020000,0,0,0,49000.0,0,2,0,0,2,0,193546,2,2,2,7020000,0,1e-06,536860.2477203647,536860.2477203647,193546,0,0,16219
7080000,NORMAL:0,0.0,7080000,0,0,0,49000.0,0,2,0,0,2,0,195201,2,2,2,7080000,0,1e-06,542938.9977203647,542938.9977203647,195201,0,0,16219
7140000,NORMAL:0,0.0,7140000,0,0,0,49000.0,0,2,0,0,2,0,196855,2,2,2,7140000,0,1e-06,549010.2477203647,549010.2477203647,196855,0,0,16219
7200000,NORMAL:0,0.0,7200000,0,0,0,49000.0,0,2,0,0,2,0,198509,2,2,2,7200000,0,1e-06,555087.4977203647,555087.4977203647,198509,0,0,16219
7260000,NORMAL:0,0.0,7260000,0,0,0,49000.0,0,2,0,0,2,0,200165,2,2,2,7260000,0,1e-06,561167.7477203647,561167.7477203647,200165,0,0,16219
7320000,NORMAL:0,0.0,7320000,0,0,0,49000.0,0,2,0,0,2,0,201821,2,2,2,7320000,0,1e-06,567253.9977203647,567253.9977203647,201821,0,0,16219
7380000,NORMAL:0,0.0,7380000,0,0,0,49000.0,0,2,0,0,2,0,203474,2,2,2,7380000,0,1e-06,573323.7477203647,573323.7477203647,203474,0,0,16219
7440000,NORMAL:0,0.0,7440000,0,0,0,49000.0,0,2,0,0,2,0,205129,2,2,2,7440000,0,1e-06,579402.4977203647,579402.4977203647,205129,0,0,16219
7500000,NORMAL:0,0.0,7500000,0,0,0,49000.0,0,2,0,0,2,0,206783,2,2,2,7500000,0,1e-06,585473.7477203647,585473.7477203647,206783,0,0,16219
